first,last,gender,score,prevEdu,studyHrs,python
Christina,Binger,Female,72,Graduate,158,59
Alex,Walekhwa,MALE,79,High School,150,60
Philip,Leo,Male,55,High School,130,74
Shoni,Hlongwane,Female,40,High School,120,
Maria,Kedibone,Female,65,High School,122,91
Hannah,Hansen,female,66,High School,130,88
Ole,Johansen,Male,90,Undergraduate,156,80
Lars,Olsen,male,89,Undergraduate,160,85
Bjorn,Larsen,male,88,Undergraduate,156,80
Sofie,Jensen,Female,85,Undergraduate,160,83
Emma,de Vries,Female,65,Undergraduate,156,79
Solveig,Eliassen,FEMALE,70,High School,156,80
Odd,Knudsen,male,91,High School,156,85
Grethe,Myklebust,Female,77,High School,144,70
Marco,Rossi,Male,80,Undergraduate,152,75
Ingrid,Eide,Female,81,Undergraduate,156,80
Hanna,Andresen,Female,85,Undergraduate,156,87
Jorunn,Eliassen,Female,86,Undergraduate,156,80
Sebastian,Kristiansen,Male,75,Undergraduate,148,76
Camilla,Mikkelsen,Female,95,Graduate,160,84
Prof,Birkeland,Male,45,High School,116,33
Hanna,Isaksen,female,50,High School,114,30
Kristine,Berg,Female,55,High School,140,61
Carmen,Rodriguez,Female,78,Undergraduate,156,80
Odd,Ahmed,Male,82,Undergraduate,156,82
Gunnar,Brekke,Male,81,Undergraduate,158,85
Gerd,Bakken,Female,92,Graduate,160,87
Aisha,Nakaweesi,FEMALE,55,High School,142,66
Kato,Muwanguzi,Male,80,Undergraduate,156,81
Nansubuga,Nakalema,FEMALE,86,Undergraduate,154,81
Joakim,Edvardsen,male,78,High School,152,80
Don,Pettersen,Male,76,High School,156,85
Perry,Ronning,Female,30,Graduate,120,31
Frank,Abrahamsen,Male,68,High School,152,
Line,Noss,Female,98,High School,160,90
Thor,Sandvik,Male,85,Undergraduate,158,84
Petter,Ellingsen,Male,75,High School,156,81
Sindre,Hansen,Male,95,Undergraduate,158,87
Simen,Myhre,Female,50,High School,144,69
Bjorg,Fredriksen,Male,68,High School,136,60
Trond,Karlsen,Female,45,Undergraduate,142,57
Emily,Thompson,FEMALE,90,Graduate,158,85
Unni,Jacobsen,Female,90,Graduate,156,80
Grethe,Brekke,female,96,Graduate,158,87
Ruth,Pedersen,Female,95,Graduate,160,88
Inger,Jensen,Male,89,Graduate,160,86
Peninah,Andresen,Female,78,High School,148,78
Berit,Eide,Female,54,High School,136,57
Jenny,Kristoffersen,Female,68,High School,124,48
Thea,Knutsen,Male,69,High School,120,45
Dag,Arnesen,Male,95,High School,160,90
Mwanaidi,Ali,female,82,Undergraduate,156,84
Bjorn,Pedersen,Female,70,High School,138,69
Chinedu,Morison,Male,28,High School,120,15
Irene,Stromertan,FEMALE,80,Graduate,158,84
Chinedu,Okafor,Male,94,Graduate,160,87
Marianne,Ruud,Male,91,Graduate,158,84
Jens,Lunde,Male,90,High School,156,81
Morten,Olsen,Female,94,Graduate,160,90
Karoline,Ahmed,FEMALE,76,High School,156,84
Ola,Bakke,Female,81,Undergraduate,158,87
Tore,Abrahamsen,FEMALE,73,High School,144,70
Caroline,Narocho,Female,90,High School,160,87
Silvia,Berg,Female,81,High School,158,85
Valentino,Ojiambo,Male,85,Undergraduate,156,84
Peter,Kubebea,male,83,Undergraduate,156,81
Anna,Muller,Female,89,Graduate,160,87
Lucas,Schmidt,Male,98,Graduate,160,87
Marie,Dubois,Female,69,Undergraduate,144,69
Thomas,Garcia,Male,80,Undergraduate,152,78
Emma,Janssen,Female,81,Graduate,160,80
Maximilan,Martini,Male,74,Graduate,140,63
Clara,Bernard,Female,80,Undergraduate,150,75
Julian,Nielsen,Male,90,Graduate,158,84
Sophie,Brown,FEMALE,96,Graduate,158,85
Leon,Bauer,male,90,Graduate,160,87
Mohammed,Salim,male,35,Graduate,144,72
